Host,Resource,MetricName,Record Type,Period,IntendedEndTimestamp,ActualStartTimestamp,ActualEndTimestamp,ValueCount,ValueType,IntegerValue,IntegerMin,IntegerMax,myDate,myTime,myDatetime
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 11:00:00 PST 2018,Sat Mar 03 09:00:00 PST 2018,Sat Mar 03 11:00:00 PST 2018,768,Long,16072464,3719296,25640784,3/3/2018,11:00,3/3/2018 11:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 12:00:00 PST 2018,Sat Mar 03 11:00:00 PST 2018,Sat Mar 03 12:00:00 PST 2018,1416,Long,17908512,4112520,25426984,3/3/2018,12:00,3/3/2018 12:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 13:00:00 PST 2018,Sat Mar 03 12:00:00 PST 2018,Sat Mar 03 13:00:00 PST 2018,1415,Long,18696728,3187168,25866616,3/3/2018,13:00,3/3/2018 13:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 14:00:00 PST 2018,Sat Mar 03 13:00:00 PST 2018,Sat Mar 03 14:00:00 PST 2018,1416,Long,21523352,3534896,25201984,3/3/2018,14:00,3/3/2018 14:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 15:00:00 PST 2018,Sat Mar 03 14:00:00 PST 2018,Sat Mar 03 15:00:00 PST 2018,1416,Long,23472376,4012288,25386664,3/3/2018,15:00,3/3/2018 15:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 16:00:00 PST 2018,Sat Mar 03 15:00:00 PST 2018,Sat Mar 03 16:00:00 PST 2018,1416,Long,23854288,3171224,25326728,3/3/2018,16:00,3/3/2018 16:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 17:00:00 PST 2018,Sat Mar 03 16:00:00 PST 2018,Sat Mar 03 17:00:00 PST 2018,1416,Long,25552880,3938008,25552880,3/3/2018,17:00,3/3/2018 17:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 18:00:00 PST 2018,Sat Mar 03 17:00:00 PST 2018,Sat Mar 03 18:00:00 PST 2018,1416,Long,15879992,3138800,25665520,3/3/2018,18:00,3/3/2018 18:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 19:00:00 PST 2018,Sat Mar 03 18:00:00 PST 2018,Sat Mar 03 19:00:00 PST 2018,1416,Long,16674448,3683872,25403680,3/3/2018,19:00,3/3/2018 19:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 20:00:00 PST 2018,Sat Mar 03 19:00:00 PST 2018,Sat Mar 03 20:00:00 PST 2018,1416,Long,19635640,3155432,25269912,3/3/2018,20:00,3/3/2018 20:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 21:00:00 PST 2018,Sat Mar 03 20:00:00 PST 2018,Sat Mar 03 21:00:00 PST 2018,1416,Long,20858744,3564392,25569272,3/3/2018,21:00,3/3/2018 21:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 22:00:00 PST 2018,Sat Mar 03 21:00:00 PST 2018,Sat Mar 03 22:00:00 PST 2018,1416,Long,20605288,3830640,25639168,3/3/2018,22:00,3/3/2018 22:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sat Mar 03 23:00:00 PST 2018,Sat Mar 03 22:00:00 PST 2018,Sat Mar 03 23:00:00 PST 2018,1416,Long,22731920,3820224,25429784,3/3/2018,23:00,3/3/2018 23:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sun Mar 04 00:00:00 PST 2018,Sat Mar 03 23:00:00 PST 2018,Sun Mar 04 00:00:00 PST 2018,1416,Long,21382968,3558880,25848560,3/4/2018,0:00,3/4/2018 0:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sun Mar 04 01:00:00 PST 2018,Sun Mar 04 00:00:00 PST 2018,Sun Mar 04 01:00:00 PST 2018,1416,Long,24528144,3695376,26198824,3/4/2018,1:00,3/4/2018 1:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sun Mar 04 02:00:00 PST 2018,Sun Mar 04 01:00:00 PST 2018,Sun Mar 04 02:00:00 PST 2018,1416,Long,17766248,3552128,25644152,3/4/2018,2:00,3/4/2018 2:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sun Mar 04 03:00:00 PST 2018,Sun Mar 04 02:00:00 PST 2018,Sun Mar 04 03:00:00 PST 2018,1416,Long,15506816,3011128,25405448,3/4/2018,3:00,3/4/2018 3:00
tdp03,GC Heap,Bytes In Use,GC Heap Bytes In Use,3600,Sun Mar 04 04:00:00 PST 2018,Sun Mar 04 03:00:00 PST 2018,Sun Mar 04 04:00:00 PST 2018,1416,Long,18198568,3868688,25599440,3/4/2018,4:00,3/4/2018 4:00
